"title","name","credit_hours"
"ARCH 207","TECHNOLOGY I","3"
"ARCH 309","TECHNOLOGY II","3"
"ARCH 316","TECHNOLOGY IV","3"
"ASTR 101","STARS, GALAXIES & THE UNIVERSE","3"
"ASTR 102","EXPLORATN OF THE SOLAR SYSTEM","3"
"BIOE 322","FUND OF SYSTEMS PHYSIOLOGY","3"
"BIOS 122","BIOLOGY FOR VOTERS","3"
"BIOS 124","INTRO TO EEB","3"
"BIOS 201","INTRODUCTORY BIOLOGY I","3"
"BIOS 202","INTRODUCTORY BIOLOGY II","3"
"BIOS 280","SUSTAINABLE DEVELOPMENT","3"
"BIOS 329","ANIMAL DIVERSITY","3"
"BIOS 338","BIO DATA ANALYSIS","3"
"BIOS 341","CELL BIOLOGY","3"
"BIOS 344","MOLECULAR BIOLOGY & GENETICS","3"
"BIOS 368","MONSTER","3"
"BIOS 385","CELL & MOL MECH OF THE NEURON","3"
"BUSI 395","DATA ANALYTICS","4"
"CEVE 302","SUSTAINABLE DESIGN","3"
"CEVE 313","RISK-BASED DEC UNDER UNCERT","3"
"CEVE 452","URBAN TRANSPORTATION SYSTEMS","3"
"CHBE 281","ENGRG SUSTAINABLE COMMUNITIES","3"
"CHEM 121","GENERAL CHEMISTRY I","3"
"CHEM 122","GENERAL CHEMISTRY II","3"
"CHEM 176","THE CHEMISTRY OF ART","3"
"CHEM 178","THE CHEMISTRY OF COOKING","3"
"CHEM 211","ORGANIC CHEMISTRY I","3"
"CHEM 219","ORGANIC CHEMISTRY I HONORS","3"
"CHEM 313","ORGANIC CHEMISTRY II","3"
"CHEM 320","ORGANIC CHEMISTRY II HONORS","3"
"CMOR 220","INTRO TO ENG COMPUTATION","3"
"CMOR 302","MATRIX ANALYSIS","3"
"CMOR 303","MATRIX ANALYSIS DATA SCIENCE","3"
"CMOR 304","DIFF EQUATIONS SCI & ENG","3"
"CMOR 360","INTRO TO O.R. AND OPTIMIZATION","3"
"COMP 100","INTRO COMPUTING & INFO SYS","3"
"COMP 140","COMPUTATIONAL THINKING","4"
"COMP 160","INTRO TO GAME PROG IN PYTHON","4"
"COMP 180","PRINCIPLES OF COMPUTING","4"
"COMP 200","ELEMENTS OF COMPUTER SCIENCE","3"
"COMP 300","SOCIETY IN THE INFORMATION AGE","3"
"COMP 435","ELECTION SYSTEMS","3"
